Title,Year,Acronym
Can traditional fault prediction models be used for vulnerability prediction?,2011,ESE
An empirical study on the maintenance of source code clones,2009,ESE
Using information retrieval based coupling measures for impact analysis,2008,ESE
Are test smells really harmful? An empirical study,2014,ESE
Fresh apps: an empirical study of frequently-updated mobile apps in the Google play store,2015,ESE
A survey on the use of topic models when mining software repositories,2015,ESE
Developing search strategies for detecting relevant experiments,2008,ESE
"Quality, productivity and economic benefits of software reuse: a review of industrial studies",2007,ESE
Identifying self-admitted technical debt in open source projects using text mining,2017,ESE
Privacy by designers: software developers’privacy mindset,2017,ESE
Analyzing and automatically labelling the types of user issues that are raised in mobile app reviews,2015,ESE
"Case studies synthesis: a thematic, cross-case, and narrative synthesis worked example",2014,ESE
The effect of moving from a plan-driven to an incremental software development approach with agile practices,2010,ESE
Subjective evaluation of software evolvability using code smells: An empirical study,2006,ESE
Value-cognitive boosting with a support vector machine for cross-project defect prediction,2014,ESE
On negative results when using sentiment analysis tools for software engineering research,2017,ESE
What do developers search for on the web?,2017,ESE
Comparative Assessment of Software Quality Classification Techniques: An Empirical Case Study,2004,ESE
Do too many cooks spoil the broth? Using the number of developers to enhance defect prediction models,2008,ESE
An Ethnographic Study of XP Practice,2004,ESE
Studying the co-evolution of production and test code in open source and industrial developer test processes through repository mining,2010,ESE
Sentiment Polarity Detection for Software Development,2017,ESE
FixMiner: Mining relevant fix patterns for automated program repair,2020,ESE
Large-scale agile transformation at Ericsson: a case study,2018,ESE
Recovering from a decade: a systematic mapping of information retrieval approaches to software traceability,2013,ESE
